query,modarch reasoner,modarch nodes explored,modarch min depth,success,time
1,modarch,2,1,True,0.5892243820000003
2,modarch,4,3,True,0.02694555600000026
3,modarch,1000000,0,False,119.936700093
4,modarch,2,1,True,0.048553658000003
5,modarch,3,2,True,0.009466595999995775
6,modarch,7,6,True,0.067641375000008
7,modarch,1000000,0,False,122.538912711
8,modarch,1000000,0,False,112.265863989
9,modarch,2,1,True,0.012281092999955945
10,modarch,7,6,True,0.029841703999977653
11,modarch,2,1,True,0.004836253000007673
12,modarch,3,2,True,0.03284060800001498
13,modarch,7,6,True,0.3157301149999512
14,modarch,592634,8,True,78.415402755
15,modarch,3,2,True,0.0070727730000044176
16,modarch,3,2,True,0.03478160200000957
17,modarch,4,3,True,0.0170137240000372
18,modarch,2,1,True,0.03188188000001446
19,modarch,2,1,True,0.01592800100002023
20,modarch,2,1,True,0.017091368000023976
21,modarch,2,1,True,0.00010824499997852399
22,modarch,1000000,0,False,116.79546417899996
23,modarch,1000000,0,False,173.92719525199993
24,modarch,7,6,True,0.06392926299997725
25,modarch,2,1,True,0.009730309000019588
26,modarch,2,1,True,0.0001991090000501572
27,modarch,4474,15,True,0.8001700289999008
28,modarch,4,3,True,0.018760630999963723
29,modarch,2,1,True,0.010537991999967744
30,modarch,10,9,True,0.129828540999938
31,modarch,13,3,True,0.011281650000000809
32,modarch,4,3,True,0.004821952000042984
33,modarch,10,9,True,0.2411710359999688
34,modarch,1000000,0,False,128.048188869
35,modarch,3,2,True,0.01174845599996388
36,modarch,3,2,True,0.03407022499993673
37,modarch,10,7,True,0.10711618400000589
38,modarch,50,7,True,0.1020195359999434
39,modarch,2,1,True,0.05019553099998575
40,modarch,2,1,True,0.03896604199997
41,modarch,7,6,True,0.029228803000023618
42,modarch,4,3,True,0.023758805000056782
43,modarch,3,2,True,0.05309300599992639
44,modarch,3,2,True,0.011515311000039219
45,modarch,2,1,True,0.00020319299994753237
46,modarch,1000000,0,False,118.20623911799998
47,modarch,4,3,True,0.038192467999920154
48,modarch,2,1,True,0.045042566000006445
49,modarch,3,2,True,0.014953743999967628
50,modarch,6,5,True,0.053772828999967714
51,modarch,2,1,True,0.00014271600002757623
52,modarch,106321,4,True,9.913592647999963
53,modarch,2,1,True,0.03613458199993147
54,modarch,3,2,True,0.02130285099997309
55,modarch,2,1,True,0.00015752899992094171
56,modarch,13,2,True,0.06359265000003234
57,modarch,3,2,True,0.04469110399998044
58,modarch,7,6,True,0.034206933000064055
59,modarch,9,8,True,0.10792049500003031
60,modarch,2,1,True,0.00012824700002056488
61,modarch,6,5,True,0.04614965499990831
62,modarch,2,1,True,0.04224099299995032
63,modarch,3,2,True,0.00016457899994293257
64,modarch,256331,3,True,26.680876213000033
65,modarch,4,3,True,0.016011182999932316
66,modarch,6,5,True,0.18114925999998377
67,modarch,4,3,True,0.019775169000013193
68,modarch,3,2,True,0.00034318200005145627
69,modarch,3,2,True,0.011685339999985445
70,modarch,8,7,True,0.14233120100004726
71,modarch,3,2,True,0.02950934699993013
72,modarch,1000000,0,False,118.01664711199999
73,modarch,10,3,True,0.0719149080000534
74,modarch,2,1,True,0.012570783999990454
75,modarch,48717,8,True,6.068779369999902
76,modarch,2,1,True,0.06073529700006475
77,modarch,3,2,True,0.035714190999897255
78,modarch,4,3,True,0.03717174600001272
79,modarch,2,1,True,0.00015907499982859008
80,modarch,3,2,True,0.02693196900008843
81,modarch,6,5,True,0.07347715400010202
82,modarch,3,2,True,0.0666951959999551
83,modarch,2,1,True,0.06382722000012109
84,modarch,3,2,True,0.014260574999980236
85,modarch,5,4,True,0.14351186499993673
86,modarch,2,1,True,0.00014376199987964355
87,modarch,1000000,0,False,194.17775571599987
88,modarch,2,1,True,0.00018869999985327013
89,modarch,9,5,True,0.07947351799998614
90,modarch,3,2,True,0.0002125609998984146
91,modarch,7,6,True,0.11575330999994549
92,modarch,1000000,0,False,113.96372240799997
93,modarch,5,4,True,0.03768286500007889
94,modarch,11,2,True,0.017578155999899536
95,modarch,7,6,True,0.22221292099993661
96,modarch,2,1,True,0.01659227400000418
97,modarch,4,3,True,0.02560721800000465
98,modarch,2,1,True,0.06326633599996967
99,modarch,2,1,True,0.06614266499991572
100,modarch,5,4,True,0.06468224199988981
